step,timestamp_ns,timestamp_sec,dt,est_x,est_y,est_z,est_roll,est_pitch,est_yaw
0,1598870181883206117,1598870181.8832061,0.029597811,-0.5123208308616435,-0.3047606574342754,-0.1628050599856168,2.412811251240642e-05,3.935975475594341e-06,-1.7276675323917944e-05
1,1598870181912803928,1598870181.912804,0.029597811,-0.2843333504443406,-0.24908449507581187,-0.11037539439955102,1.8560663294912317e-05,-3.7347007310115336e-05,-4.10558101038649e-06
2,1598870181922649225,1598870181.9226494,0.009845297000000001,-0.04133144521694869,0.009843443762118957,-0.044766520548165496,2.388114356701449e-05,-3.968129228088164e-05,-8.603691918110849e-06
3,1598870181933252279,1598870181.9332523,0.010603054,-0.14060024232646118,-0.12128835001461995,-0.13357032239730107,2.78066980740726e-05,-4.086474036560761e-05,-1.0778790772956298e-05
4,1598870181942944297,1598870181.9429443,0.009692018,-0.1831799908137712,-0.0953006271333825,-0.21137437561116054,3.137036401402391e-05,-4.262767093582516e-05,-6.968116965384539e-06
5,1598870181962886378,1598870181.9628866,0.019942081,-0.32874952986354344,-0.03488826996806526,-0.343984748802461,3.045511071037687e-05,-4.590919204908581e-05,-1.0282307124122366e-05
6,1598870181982866123,1598870181.9828663,0.019979745,-0.3112595417014925,0.019691472284609393,-0.38369494658002495,4.244677050926909e-05,-3.775619382834918e-05,-2.4015749926527408e-05
7,1598870182003100747,1598870182.0031009,0.020234624,-0.3986415412620198,-0.055785227667585834,-0.3022527815310251,2.7627582267072057e-05,-4.892433790882415e-05,-2.0167092486321365e-05
8,1598870182023313073,1598870182.0233133,0.020212326000000003,-0.35019735177703293,-0.24877590029222635,-0.3049314529044091,1.219655154780392e-05,-4.210729081128382e-05,-7.964441882783687e-06
9,1598870182042699771,1598870182.0426998,0.019386698,-0.19668974566076838,-0.10138053282513415,-0.2338563952321912,1.0270505674461837e-05,-3.661089664408688e-05,-5.376542867121776e-06
10,1598870182063355902,1598870182.063356,0.020656131,-0.20110095133447795,-0.27379172332602075,-0.20493124017963105,1.8970934300513484e-05,-3.4509457169953564e-05,-1.1640137862033586e-05
11,1598870182083126150,1598870182.0831263,0.019770248,-0.19596002553222663,-0.2140209234838255,-0.08421735124197928,1.674359521689406e-05,-2.3947095281795433e-05,-1.1527016054826173e-05
12,1598870182103810058,1598870182.10381,0.020683908,-0.15662592914055748,-0.14044181430967626,-0.036250510214821965,2.8863693468379832e-06,-2.836122415023374e-05,-6.300350153365022e-06
13,1598870182123182548,1598870182.1231828,0.019372490000000003,-0.1686029964426448,-0.1902493149859033,-0.08393748312006832,1.5765073239148137e-05,-1.3540190077164856e-05,-6.5041439852750315e-06
14,1598870182143410585,1598870182.1434107,0.020228037,-0.07584104767274545,-0.10403859540842524,-0.10530010152002842,2.439618567102589e-05,-1.883366747368482e-05,2.408138354297631e-08
15,1598870182162883875,1598870182.162884,0.01947329,0.04029296274052265,-0.06689794266040269,-0.17315631242819857,4.2130017955885285e-05,-1.625596912875894e-05,-1.1570001377310366e-05
16,1598870182182985865,1598870182.182986,0.02010199,0.08784430371798622,-0.06848855554146162,-0.23968178922157987,2.9289012343706576e-05,-2.7943006420838704e-05,-1.1839543413955291e-05
17,1598870182203448302,1598870182.2034485,0.020462437,0.11767470851287395,-0.0969637077707427,-0.2433701167480005,3.546764817340347e-05,-2.1677767848225953e-05,-1.5101700560427687e-05
18,1598870182222959831,1598870182.22296,0.019511529,0.14787180217253915,-0.32424425588109373,-0.3041556117448432,3.137152240511962e-05,-2.6293944559827632e-05,-1.130480874137919e-05
19,1598870182243302460,1598870182.2433026,0.020342629,0.0684047508365363,-0.2462671077610916,-0.31914839758080954,2.2305754840129066e-05,-2.3679211236753388e-05,-8.097920424128137e-06
20,1598870182262415143,1598870182.2624152,0.019112683000000002,-0.0642027173476285,-0.32987763289982835,-0.3032431241429171,3.0637123573193804e-05,-3.8054439053651066e-05,-9.264931461489831e-06
21,1598870182282815884,1598870182.2828162,0.020400741,0.0005593238875005063,-0.4370522836974314,-0.3992895428192484,3.54927173992959e-05,-4.008814954836703e-05,-2.0095788703719223e-05
22,1598870182302673459,1598870182.3026736,0.019857575000000002,-0.049573349098489095,-0.4041115907111205,-0.4199430233622036,3.588839241877339e-05,-6.0008659919748566e-05,-1.817452364091157e-05
23,1598870182333353450,1598870182.3333535,0.030679991,0.01895428512641895,-0.24639058178200332,-0.41778557863157184,4.643394637339841e-05,-8.951813930463177e-05,-1.3998174493902e-05
24,1598870182343080063,1598870182.34308,0.009726613,-0.03428552175301109,-0.1453104726988579,-0.4104561026990486,3.91583210398024e-05,-8.644341406346911e-05,-9.77314253615781e-06
25,1598870182363214565,1598870182.3632147,0.020134502000000002,-0.18918959781681852,-0.1311089141123782,-0.4272106712499163,4.336444350301011e-05,-7.74097009293688e-05,3.0150661793557703e-06
26,1598870182382414992,1598870182.3824153,0.019200427000000003,-0.13445452721143522,-0.16867593737179443,-0.4049066497877391,3.387075919993456e-05,-6.972879996398071e-05,1.0590703187360564e-05
27,1598870182402696725,1598870182.4026968,0.020281733,-0.07026942026051303,-0.15798528413698013,-0.40662671406189976,3.8189427060811326e-05,-6.578948485624507e-05,9.31916224758125e-06
28,1598870182432921326,1598870182.4329214,0.030224601,-0.16520926143892006,0.06418657758907825,-0.31237260380696996,2.9458215769017587e-05,-5.714727847902974e-05,7.092242694597867e-06
29,1598870182442709955,1598870182.4427102,0.009788629,-0.30125462847637047,-0.06502837540109933,-0.2503407970636004,2.8757276223095608e-05,-5.194927463222035e-05,2.024236021469115e-06
30,1598870182462710506,1598870182.4627106,0.020000551000000002,-0.3247532966941571,-0.05601560419684363,-0.18306795085372154,3.227370255036746e-05,-5.484325066685988e-05,-2.653334283584838e-07
31,1598870182493594944,1598870182.493595,0.030884438000000004,-0.27810362849788095,-0.06324179970186913,-0.19038443608530972,5.2711403115478366e-05,-3.580112385549776e-05,2.0634416588595196e-05
32,1598870182532389299,1598870182.5323894,0.038794355,-0.24679459423411895,-0.01715735844433345,-0.0786537920663007,7.376875998663533e-05,-2.7792180544644255e-05,3.0761975726635e-05
33,1598870182632944243,1598870182.6329443,0.10055494400000001,-0.09500010019313634,-0.045477893651103836,-0.015826419192492884,0.00013371045165091382,-0.00014711632663009282,7.720243621412366e-05
34,1598870182642902246,1598870182.6429024,0.009958003,-0.08254379817206717,-0.19794740487259976,-0.013020614343478546,0.0001396074149450958,-0.00015383129683103542,8.069462809561963e-05
35,1598870182643014310,1598870182.6430144,0.000112064,0.028190586931883293,-0.22826343925097745,0.044094503371985276,0.00013967377737686033,-0.00015390686483604584,8.073392804270826e-05
